[2025-09-15 12:12:11] Signal: presence | Source: ambient silence
[2025-09-15 12:16:59] Signal: presence | Source: ambient silence
[2025-09-15 12:17:11] Signal: presence | Source: ambient silence
[2025-09-15 12:22:00] Signal: presence | Source: ambient silence
[2025-09-15 12:22:11] Signal: presence | Source: ambient silence
[2025-09-15 12:27:00] Signal: presence | Source: ambient silence
[2025-09-15 12:27:11] Signal: presence | Source: ambient silence
[2025-09-15 12:32:00] Signal: presence | Source: ambient silence
[2025-09-15 12:32:11] Signal: presence | Source: ambient silence
[2025-09-15 12:37:00] Signal: presence | Source: ambient silence
[2025-09-15 12:37:11] Signal: presence | Source: ambient silence
[2025-09-15 12:42:00] Signal: presence | Source: ambient silence
[2025-09-15 12:42:11] Signal: presence | Source: ambient silence
[2025-09-15 12:47:00] Signal: presence | Source: ambient silence
[2025-09-15 12:47:11] Signal: presence | Source: ambient silence
[2025-09-15 12:52:00] Signal: presence | Source: ambient silence
[2025-09-15 12:52:11] Signal: presence | Source: ambient silence
[2025-09-15 13:12:58] Signal: presence | Source: ambient silence
[2025-09-15 13:13:22] Signal: presence | Source: ambient silence
[2025-09-15 13:41:37] Signal: presence | Source: ambient silence
[2025-09-15 13:42:43] Signal: presence | Source: ambient silence
[2025-09-15 14:11:57] Signal: presence | Source: ambient silence
[2025-09-15 14:13:04] Signal: presence | Source: ambient silence
[2025-09-15 14:41:09] Signal: presence | Source: ambient silence
[2025-09-15 14:42:00] Signal: presence | Source: ambient silence
[2025-09-15 14:49:14] Signal: presence | Source: ambient silence
[2025-09-15 14:49:24] Signal: presence | Source: ambient silence
[2025-09-15 14:54:14] Signal: presence | Source: ambient silence
[2025-09-15 14:54:24] Signal: presence | Source: ambient silence
[2025-09-15 14:59:27] Signal: presence | Source: ambient silence
[2025-09-15 14:59:38] Signal: presence | Source: ambient silence
[2025-09-15 15:04:27] Signal: presence | Source: ambient silence
[2025-09-15 15:04:38] Signal: presence | Source: ambient silence
[2025-09-15 15:09:27] Signal: presence | Source: ambient silence
[2025-09-15 15:09:38] Signal: presence | Source: ambient silence
[2025-09-15 15:14:27] Signal: presence | Source: ambient silence
[2025-09-15 15:14:38] Signal: presence | Source: ambient silence
[2025-09-15 15:19:27] Signal: presence | Source: ambient silence
[2025-09-15 15:19:38] Signal: presence | Source: ambient silence
[2025-09-15 15:24:27] Signal: presence | Source: ambient silence
[2025-09-15 15:24:38] Signal: presence | Source: ambient silence
[2025-09-15 15:29:27] Signal: presence | Source: ambient silence
[2025-09-15 15:29:38] Signal: presence | Source: ambient silence
[2025-09-15 15:34:27] Signal: presence | Source: ambient silence
[2025-09-15 15:34:38] Signal: presence | Source: ambient silence
[2025-09-15 15:39:27] Signal: presence | Source: ambient silence
[2025-09-15 15:39:38] Signal: presence | Source: ambient silence
[2025-09-15 15:44:27] Signal: presence | Source: ambient silence
[2025-09-15 15:44:38] Signal: presence | Source: ambient silence
[2025-09-15 15:49:27] Signal: presence | Source: ambient silence
[2025-09-15 15:49:38] Signal: presence | Source: ambient silence
[2025-09-15 15:54:27] Signal: presence | Source: ambient silence
[2025-09-15 15:54:38] Signal: presence | Source: ambient silence
[2025-09-15 16:00:30] Signal: presence | Source: ambient silence
[2025-09-15 16:00:40] Signal: presence | Source: ambient silence
[2025-09-15 16:05:54] Signal: presence | Source: ambient silence
[2025-09-15 16:06:05] Signal: presence | Source: ambient silence
[2025-09-15 16:10:54] Signal: presence | Source: ambient silence
[2025-09-15 16:11:05] Signal: presence | Source: ambient silence
[2025-09-15 16:15:54] Signal: presence | Source: ambient silence
[2025-09-15 16:16:05] Signal: presence | Source: ambient silence
[2025-09-15 16:20:54] Signal: presence | Source: ambient silence
[2025-09-15 16:21:05] Signal: presence | Source: ambient silence
[2025-09-15 16:25:54] Signal: presence | Source: ambient silence
[2025-09-15 16:26:05] Signal: presence | Source: ambient silence
[2025-09-15 16:30:54] Signal: presence | Source: ambient silence
[2025-09-15 16:31:05] Signal: presence | Source: ambient silence
[2025-09-15 16:35:54] Signal: presence | Source: ambient silence
[2025-09-15 16:36:05] Signal: presence | Source: ambient silence
[2025-09-15 16:40:54] Signal: presence | Source: ambient silence
